정제전_대학명(영문),정제후_대학명(영문),school_info_매칭여부
Furtwangen University of Applied Sciences,Furtwangen University of Applied Sciences,
Heinrich Heine University Dusseldorf,Heinrich Heine University Dusseldorf,
Heinrich Heine University Dusseldorf,Heinrich Heine University Dusseldorf,
Leuphana University of Luneburg,Leuphana University of Luneburg,Leuphana University of Luneburg
Leuphana University of Luneburg,Leuphana University of Luneburg,Leuphana University of Luneburg
Muenster University of Applied Sciences,Muenster University of Applied Sciences,
Muenster University of Applied Sciences,Muenster University of Applied Sciences,
Radboud University,Radboud University,Radboud University
Regensburg University of Applied Sciences (OTH Regensburg),Regensburg University of Applied Sciences (OTH Regensburg),
Regensburg University of Applied Sciences (OTH Regensburg),Regensburg University of Applied Sciences (OTH Regensburg),
Ruhr University Bochum,Ruhr University Bochum,
University of Braunschweig of Technology,University of Braunschweig of Technology,
University of Vechta,University of Vechta,University of Vechta
Viadrina European University,Viadrina European University,
Viadrina European University,Viadrina European University,
Worms University of Applied Sciences,Worms University of Applied Sciences,Worms University of Applied Sciences
Worms University of Applied Sciences,Worms University of Applied Sciences,Worms University of Applied Sciences
University of Malaya,University of Malaya,University of Malaya
"Colorado State University, Pueblo","Colorado State University, Pueblo",
Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology
Kennesaw State University,Kennesaw State University,
Northwest University,Northwest University,Northwest University
Oklahoma State University,Oklahoma State University,Oklahoma State University
San Francisco State University,San Francisco State University,San Francisco State University
San Francisco State University,San Francisco State University,San Francisco State University
San Francisco State University,San Francisco State University,San Francisco State University
San Francisco State University,San Francisco State University,San Francisco State University
Florida State University,Florida State University,
The Florida State University,The Florida State University,
The University of Oklahoma,The University of Oklahoma,
The University of Oklahoma,The University of Oklahoma,
"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley"
"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley"
"University of California, Santa Barbara","University of California, Santa Barbara","University of California, Santa Barbara"
Umeå University,Umeå University,Umeå University
Geneva School of Business Administration,Geneva School of Business Administration,Geneva School of Business Administration
nan,BA School of Business and Finance,BA School of Business and Finance
Polytechnic University of Catalonia,Polytechnic University of Catalonia,
Polytechnic University of Catalonia,Polytechnic University of Catalonia,
University of Alicante,University of Alicante,
nan,BA School of Business and Finance,BA School of Business and Finance
University of Barcelona,University of Barcelona,University of Barcelona
University of Jaén,University of Jaén,University of Jaén
University of Central Lancashire,University of Central Lancashire,
University of Keele,University of Keele,
University of Worcester,University of Worcester,
York St John University,York St John University,York St John University
York St John University,York St John University,York St John University
FHWien der wkw university of applied sciences,FHWien der wkw university of applied sciences,
FHWIEN Der WKW,FHWIEN Der WKW,
Vorarlberg University of Applied Sciences,Vorarlberg University of Applied Sciences,Vorarlberg University of Applied Sciences
24-1 University of Rome Tor Vergata,24-1 University of Rome Tor Vergata,
University of Rome Tor Vergata,University of Rome Tor Vergata,
University of Siena,University of Siena,University of Siena
University of Verona,University of Verona,University of Verona
University of Verona,University of Verona,University of Verona
J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学)
J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学)
J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学)
Japan University of Economics,Japan University of Economics,Japan University of Economics
Kanda University of International Studies,Kanda University of International Studies,Kanda University of International Studies
Kanda University of International Studies,Kanda University of International Studies,Kanda University of International Studies
Meiji Gakuin University(明治学院大学),Meiji Gakuin University(明治学院大学),
Meiji Gakuin University(明治学院大学),Meiji Gakuin University(明治学院大学),
Nagoya Gakuin University,Nagoya Gakuin University,
Nagoya University of Foreign Studies,Nagoya University of Foreign Studies,Nagoya University of Foreign Studies
Nagoya University of Foreign Studies,Nagoya University of Foreign Studies,Nagoya University of Foreign Studies
Nagoya University of Foreign Studies,Nagoya University of Foreign Studies,Nagoya University of Foreign Studies
Otsuma Women's University,Otsuma Women's University,Otsuma Women's University
Seinan Gakuin University,Seinan Gakuin University,Seinan Gakuin University
Shinshu University,Shinshu University,Shinshu University
Teikyo University,Teikyo University,
Teikyo University,Teikyo University,
Dalian Minzu University(大连民族学院),Dalian Minzu University(大连民族学院),Dalian Minzu University(大连民族学院)
Nanjing University(南京大学),Nanjing University(南京大学),
"Shandong University, Weihai(山东大学, 威海)","Shandong University, Weihai(山东大学, 威海)","Shandong University, Weihai(山东大学, 威海)"
Tianjin Normal University (天津师范大学),Tianjin Normal University (天津师范大学),Tianjin Normal University (天津师范大学)
Brno University of Technology,Brno University of Technology,Brno University of Technology
Metropolitan University Prague,Metropolitan University Prague,
Palacky University Olomouc,Palacky University Olomouc,Palacky University Olomouc
Tomas Bata University,Tomas Bata University,Tomas Bata University
Tomas Bata University,Tomas Bata University,Tomas Bata University
University of Ostrava,University of Ostrava,University of Ostrava
nan,BA School of Business and Finance,BA School of Business and Finance
ESCE International Business School,ESCE International Business School,
ESSCA School of Management (Angers),ESSCA School of Management (Angers),
ESSCA School of Management (Angers),ESSCA School of Management (Angers),
ESSCA School of Management (Paris),ESSCA School of Management (Paris),
Ecole de Management de Normandie,Ecole de Management de Normandie,Ecole de Management de Normandie
ISMAC,ISMAC,
ISMAC,ISMAC,
Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci
Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci
University of Strasbourg,University of Strasbourg,University of Strasbourg
Károli Gáspár University of the Reformed Church in Hungary,Károli Gáspár University of the Reformed Church in Hungary,
"University of Nevada, Las Vegas","University of Nevada, Las Vegas",
HZ University of Applied Sciences,HZ University of Applied Sciences,HZ University of Applied Sciences
Hanze University of Applied Sciences,Hanze University of Applied Sciences,
Hanze University of Applied Sciences,Hanze University of Applied Sciences,
Radboud University,Radboud University,Radboud University
Radboud University,Radboud University,Radboud University
Saxion University of Applied Sciences,Saxion University of Applied Sciences,Saxion University of Applied Sciences
네덜란드Saxion University of Applied Sciences,Saxion University of Applied Sciences,Saxion University of Applied Sciences
Saxion University of applied science,Saxion University of applied science,
The Hague University of Applied Sciences,The Hague University of Applied Sciences,The Hague University of Applied Sciences
The Hague University of Applied Sciences,The Hague University of Applied Sciences,The Hague University of Applied Sciences
Tio University,Tio University of Applied Sciences,Tio University of Applied Sciences
ASH Berlin,ASH Berlin,
Aachen University of Applied Sciences,Aachen University of Applied Sciences,
Alice Salomon Hochschule Berlin,Alice Salomon Hochschule Berlin,
Augsburg University of Applied Sciences,Augsburg University of Applied Sciences,
FH Aachen University of Applied Sciences,FH Aachen University of Applied Sciences,
HTW Dresden,HTW Dresden,
Heinrich Heine University Düsseldorf,Heinrich Heine University Düsseldorf,
Heinrich Heine University Düsseldorf,Heinrich Heine University Düsseldorf,
Hochschule Kaiserslautern (University of Applied Sciences),Hochschule Kaiserslautern (University of Applied Sciences),
Hochschule Kaiserslautern_University of Applied Sciences,Hochschule Kaiserslautern_University of Applied Sciences,
Hof Applied Science University,Hof Applied Science University,
Hof University of Applied Sciences,Hof University of Applied Sciences,Hof University of Applied Sciences
Leuphana University,Leuphana University of Luneburg,Leuphana University of Luneburg
Leuphana University,Leuphana University of Luneburg,Leuphana University of Luneburg
Münster University of Applied Science,Münster University of Applied Science,
OTH Regensburg,OTH Regensburg,
OTH Regensburg,OTH Regensburg,
Regensburg OTH University,Regensburg OTH University,
TH Köln University of Applied Sciences,TH Köln University of Applied Sciences,
Viadrina European University,Viadrina European University,
Viadrina European University,Viadrina European University,
Viadrina European University,Viadrina European University,
Worms University of Applied Sciences,Worms University of Applied Sciences,Worms University of Applied Sciences
Angelo State University,Angelo State University,Angelo State University
California Baptist University,California Baptist University,
California Baptist University,California Baptist University,
California State University,"California State University, Monterey Bay","California State University, Monterey Bay"
"Colorado State University, Pueblo","Colorado State University, Pueblo",
Florida State University,Florida State University,
Florida State University,Florida State University,
Kennesaw State University,Kennesaw State University,
San Francisco State University,San Francisco State University,San Francisco State University
San Francisco State University,San Francisco State University,San Francisco State University
San Francisco State University,San Francisco State University,San Francisco State University
San Francisco State University,San Francisco State University,San Francisco State University
San Francisco state university,San Francisco state university,
Stony Brook University,Stony Brook University,
The University of Oklahoma,The University of Oklahoma,
University of California Los Angeles,University of California Los Angeles,
University of Oklahoma,University of Oklahoma,
University of South Dakota,University of South Dakota,
Umea University,Umea University,
Polytechnic University of Catalonia,Polytechnic University of Catalonia,
Polytechnic University of Catalonia,Polytechnic University of Catalonia,
Universidad of Jaen,Universidad of Jaen,
University of A Coruña,University of A Coruña,
University of A Coruña,University of A Coruña,
University of Malaga,University of Malaga,
University of Vigo,University of Vigo,University of Vigo
University of Vigo,University of Vigo,University of Vigo
university of Jaen,university of Jaen,
Keele University,Keele University,
Keele University,Keele University,
SOAS University of London,SOAS University of London,
University Of Worcester,University Of Worcester,
York St John university,York St John university,
FHWien der WKW,FHWien der WKW,
Vorarlberg University of Applied Sciences(FHV),Vorarlberg University of Applied Sciences,Vorarlberg University of Applied Sciences
University of Rome Tor Vergata,University of Rome Tor Vergata,
International Christian University,International Christian University,International Christian University
Meiji Gakuin University,Meiji Gakuin University,
Meiji Gakuin University,Meiji Gakuin University,
Momoyama Gakuin University(桃山学院大学),Momoyama Gakuin University(桃山学院大学),
Otsuma Women's University,Otsuma Women's University,Otsuma Women's University
Shinshu University,Shinshu University,Shinshu University
Teikyo University,Teikyo University,
Teikyo University,Teikyo University,
Teikyo University,Teikyo University,
Teikyo University,Teikyo University,
nan,BA School of Business and Finance,BA School of Business and Finance
School of humanities of Beijing university of posts and Telecommunications,School of humanities of Beijing university of posts and Telecommunications,
Tianjin Normal University (天津师范大学),Tianjin Normal University (天津师范大学),Tianjin Normal University (天津师范大学)
Yantai University(烟台大学),Yantai University(烟台大学),Yantai University(烟台大学)
Brno University Of Technology,Brno University Of Technology,
Brno University of Technology,Brno University of Technology,Brno University of Technology
Metropolitan University Prague,Metropolitan University Prague,
Tomas Bata University,Tomas Bata University,Tomas Bata University
Tomas Bata University,Tomas Bata University,Tomas Bata University
university of Ostrava,university of Ostrava,
university of Ostrava,university of Ostrava,
algebra university,algebra university,
University of Warsaw,University of Warsaw,University of Warsaw
Audencia Business School,Audencia Business School,
EMBA,EMBA,
EMBA,EMBA,
ESSCA School of Management,ESSCA School of Management,
ISMAC,ISMAC,
Jean Monnet University,Jean Monnet University,Jean Monnet University
Jean Monnet University,Jean Monnet University,Jean Monnet University
Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci
TBS Toulouse,TBS Toulouse,
TBS Toulouse,TBS Toulouse,
Toulouse Business School,Toulouse Business School,Toulouse Business School
University Paris-Est Créteil (UPEC),University Paris-Est Créteil (UPEC),
University Paris-Est Créteil (UPEC),University Paris-Est Créteil (UPEC),
University of Clermont-Ferrand,University of Clermont-Ferrand,University of Clermont-Ferrand
essca angers,essca angers,
université jean jaurès,université jean jaurès,
Tampere University of Applied Sciences,Tampere University of Applied Sciences,Tampere University of Applied Sciences
Budapest Metropolitan University,Budapest Metropolitan University,Budapest Metropolitan University
Károli Gáspár University of the Reformed Church in Hungary,Károli Gáspár University of the Reformed Church in Hungary,
Károli Gáspár University of the Reformed Church in Hungary,Károli Gáspár University of the Reformed Church in Hungary,
Károli Gáspár University of the Reformed Church in Hungary,Károli Gáspár University of the Reformed Church in Hungary,
Geneva School of Business Administration,Geneva School of Business Administration,Geneva School of Business Administration
Soochow University(東吳大學),Soochow University(東吳大學),Soochow University(東吳大學)
Hof University of Applied Sciences,Hof University of Applied Sciences,Hof University of Applied Sciences
[교환학생] 23-2 독일 Hof University of Applied Sciences,Hof University of Applied Sciences,Hof University of Applied Sciences
Kaiserslautern University of Applied Sciences,Kaiserslautern University of Applied Sciences,Kaiserslautern University of Applied Sciences
Regensburg University of Applied Sciences (OTH Regensburg),Regensburg University of Applied Sciences (OTH Regensburg),
Regensburg University of Applied Sciences (OTH Regensburg),Regensburg University of Applied Sciences (OTH Regensburg),
University of Braunschweig of Technology,University of Braunschweig of Technology,
University of Braunschweig of Technology,University of Braunschweig of Technology,
Viadrina European University,Viadrina European University,
Universitat Abat Oliba CEU,Universitat Abat Oliba CEU,
Universitat Abat Oliba CEU,Universitat Abat Oliba CEU,
University Center for Technology and Digital Art,University Center for Technology and Digital Art,University Center for Technology and Digital Art
University of A Coruña,University of A Coruña,
University of Malaga,University of Malaga,
University of Malaga,University of Malaga,
University of Vigo,University of Vigo,University of Vigo
University of Central Lancashire,University of Central Lancashire,
University of Central Lancashire,University of Central Lancashire,
York St John University,York St John University,York St John University
University of Ostrava,University of Ostrava,University of Ostrava
ESCE International Business School,ESCE International Business School,
ESSCA School of Management (Angers),ESSCA School of Management (Angers),
ESSCA School of Management (Paris),ESSCA School of Management (Paris),
Ecole de Management Bretagne Atlantique,Ecole de Management Bretagne Atlantique,Ecole de Management Bretagne Atlantique
Ecole de Management Bretagne Atlantique,Ecole de Management Bretagne Atlantique,Ecole de Management Bretagne Atlantique
Jean Monnet University,Jean Monnet University,Jean Monnet University
Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci,Pôle Universitaire Léonard de Vinci
University Paris-Est Créteil,University Paris-Est Créteil,
University Paris-Est Créteil,University Paris-Est Créteil,
University of Paris 13,University of Paris 13,University of Paris 13
University of Strasbourg,University of Strasbourg,University of Strasbourg
Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology
